Benchmark Diffy Vajra VeriAbs VIAP
brs1f.c 0.27 0.23 23.66 15.38
brs2f.c 0.37 0.31 20.91 15.35
brs3f.c 0.38 0.37 21.68 16.52
brs4f.c 0.28 0.22 21.33 15.83
brs5f.c 0.27 0.22 21.53 16.06
condaf.c 0.43 0.34 21.33 16.29
eqn1f.c 0.48 0.46 16.61 15.64
eqn2f.c 0.46 0.39 16.53 15.74
eqn3f.c 0.36 0.32 60 15.59
eqn4f.c 0.38 0.32 60 15.58
eqn5f.c 0.43 0.40 60 15.96
ifcompf.c 0.73 0.75 60 24.69
ifeqn1f.c 0.40 0.32 60 19.54
ifeqn2f.c 0.40 0.32 60 18.76
ifeqn3f.c 0.52 0.47 60 19.68
ifeqn4f.c 0.49 0.43 60 19.46
ifeqn5f.c 0.40 0.32 60 19.05
ifncompf.c 0.60 0.49 60 22.87
indp1f.c 0.38 0.29 16.72 18.51
indp2f.c 0.39 0.30 16.75 18.37
indp3f.c 0.52 0.39 16.72 20.50
indp4f.c 0.38 0.31 16.88 18.92
indp5f.c 0.65 0.50 21.90 20.00
ncompf.c 0.57 0.48 16.96 18.43
nsqmf.c 0.37 0.31 16.67 16.11
nsqm-iff.c 0.41 0.32 60 19.29
pcompf.c 0.67 0.70 16.87 18.26
res1f.c 0.46 0.37 21.62 16.71
res1of.c 0.47 0.38 22.20 16.68
res2f.c 0.74 0.59 21.96 23.04
res2of.c 0.74 0.55 22.21 22.10
s12iff.c 0.48 0.37 22.05 18.49
s1iff.c 0.35 0.30 21.44 13.69
s1liff.c 0.42 0.31 21.82 17.08
s22iff.c 0.48 0.38 21.73 17.40
s2iff.c 0.34 0.29 21.62 14.31
s2liff.c 0.43 0.33 21.83 17.14
s32iff.c 0.48 0.40 21.77 18.71
s3iff.c 0.36 0.29 21.27 14.24
s3liff.c 0.43 0.32 22.01 17.26
s42iff.c 0.49 0.37 22.08 17.56
s4iff.c 0.36 0.30 21.36 14.48
s4liff.c 0.43 0.32 21.89 16.04
s52iff.c 0.49 0.38 22.08 18.28
s5iff.c 0.31 0.23 21.50 14.22
s5liff.c 0.44 0.35 21.50 16.28
sina1f.c 0.29 0.23 28.90 15.94
sina2f.c 0.44 0.36 60 18.73
sina3f.c 0.46 0.36 60 21.76
sina4f.c 0.53 0.43 60 21.23
sina5f.c 0.67 0.54 35.68 24.58
sqmf.c 0.38 0.30 16.96 15.72
sqm-iff.c 0.39 0.32 60 19.21
ss1f.c 0.57 0.44 22.08 18.01
ss2f.c 0.85 0.68 36.73 27.14
ss3f.c 0.63 0.50 21.95 20.71
ss4f.c 0.57 0.45 21.97 17.53
ssinaf.c 0.78 0.61 36.58 24.19
standard_copy1_ground-2.c 0.31 0.23 16.60 14.89
standard_copy2_ground-1.c 0.34 0.30 16.83 17.44
standard_copy3_ground-2.c 0.43 0.34 16.77 19.96
standard_copy4_ground-2.c 0.52 0.44 17.00 22.49
standard_copy5_ground-2.c 0.59 0.51 17.42 25.08
standard_copy6_ground-1.c 0.73 0.59 17.85 27.22
standard_copy7_ground-1.c 0.82 0.71 17.95 30.01
standard_copy8_ground-2.c 0.97 0.83 17.51 32.90
standard_copy9_ground-1.c 1.22 1.04 17.45 38.33
standard_copyInitSum2_ground-1.c 60 60 36.17 17.46
standard_init1_ground-1.c 0.10 0.10 35.00 12.42
standard_init2_ground-1.c 0.17 0.13 35.72 14.96
standard_init3_ground-1.c 0.21 0.16 36.72 17.12
standard_init4_ground-1.c 0.25 0.21 36.80 20.07
standard_init5_ground-2.c 0.32 0.25 36.83 23.92
standard_init6_ground-1.c 0.39 0.31 37.69 24.82
standard_init7_ground-1.c 0.45 0.34 38.19 26.99
standard_init8_ground-1.c 0.49 0.38 38.24 30.88
standard_init9_ground-1.c 0.61 0.48 38.76 33.96
standard_minInArray_ground-1.c 0.33 0.27 22.24 60
standard_running-1.c 0.36 0.31 21.66 60
zero_sum1f.c 0.46 0.33 21.94 16.49
zero_sum2f.c 0.80 0.61 22.83 22.47
zero_sum3f.c 1.18 0.94 23.01 26.95
zero_sum4f.c 1.64 1.28 23.90 35.04
zero_sum5f.c 2.12 1.66 24.33 41.45
zero_sum_const1f.c 0.45 0.32 21.83 14.58
zero_sum_const2f.c 0.80 0.60 22.42 18.84
zero_sum_const3f.c 1.23 0.94 23.06 27.11
zero_sum_const4f.c 1.65 1.26 23.63 30.60
zero_sum_const5f.c 2.13 1.71 24.27 36.83
zero_sum_const_m2f.c 0.80 0.61 22.41 19.14
zero_sum_const_m3f.c 1.18 0.91 22.55 25.36
zero_sum_const_m4f.c 1.62 1.27 23.32 35.50
zero_sum_const_m5f.c 2.19 1.72 24.30 39.00
zero_sum_const_m6f.c 2.69 2.16 25.18 39.75
zero_sum_m2f.c 0.78 0.61 22.38 19.69
zero_sum_m3f.c 1.19 0.96 23.08 24.01
zero_sum_m4f.c 1.66 1.31 23.89 31.00
zero_sum_m5f.c 2.18 1.73 24.54 37.46
zero_sum_m6f.c 2.71 2.24 25.18 43.98
