Benchmark Diffy Vajra VeriAbs VIAP
brs1.c 0.48 0.27 16.99 60
brs2.c 0.34 0.29 16.12 60
brs3.c 0.35 0.31 16.15 60
brs4.c 0.35 0.29 16.42 60
brs5.c 0.36 0.28 16.02 60
conda.c 0.45 0.36 16.04 60
eqn1.c 0.46 0.41 11.33 60
eqn2.c 0.47 0.43 11.48 60
eqn3.c 0.44 0.41 60 60
eqn4.c 0.47 0.41 60 60
eqn5.c 0.46 0.40 60 60
ifcomp.c 0.75 0.79 60 60
ifeqn1.c 0.50 0.45 60 60
ifeqn2.c 0.46 0.44 60 60
ifeqn3.c 0.48 0.45 60 60
ifeqn4.c 0.49 0.44 60 60
ifeqn5.c 0.49 0.45 60 60
ifncomp.c 0.74 0.77 60 60
indp1.c 0.45 0.33 11.75 58.84
indp2.c 0.51 0.32 11.45 21.27
indp3.c 0.61 0.44 11.71 43.06
indp4.c 0.42 0.33 11.41 36.83
indp5.c 0.70 0.52 16.53 60
ncomp.c 0.64 0.70 11.55 60
nsqm.c 0.48 0.41 11.48 60
nsqm-if.c 0.51 0.43 60 60
pcomp.c 0.65 0.69 11.68 60
res1.c 0.50 0.39 15.79 60
res1o.c 0.51 0.40 16.22 60
res2.c 0.80 0.64 16.65 60
res2o.c 0.79 0.63 17.04 60
s12if.c 0.53 0.43 16.65 60
s1if.c 0.34 0.29 15.99 60
s1lif.c 0.48 0.35 16.50 60
s22if.c 0.51 0.40 16.87 60
s2if.c 0.33 0.29 16.38 60
s2lif.c 0.48 0.36 16.73 60
s32if.c 0.51 0.43 16.54 60
s3if.c 0.35 0.29 16.11 60
s3lif.c 0.46 0.37 16.63 60
s42if.c 0.52 0.43 16.46 60
s4if.c 0.34 0.27 16.27 60
s4lif.c 0.48 0.36 16.26 60
s52if.c 0.51 0.45 16.47 60
s5if.c 0.32 0.28 16.15 60
s5lif.c 0.45 0.35 16.49 60
sanfoundry_27_ground.c 0.39 0.34 16.39 38.31
sina1.c 0.32 0.31 29.38 60
sina2.c 0.50 0.43 29.85 60
sina3.c 0.53 0.48 30.73 60
sina4.c 0.59 0.50 30.89 60
sina5.c 0.75 0.62 31.55 60
sqm.c 0.47 0.43 11.70 60
sqm-if.c 0.48 0.44 60 60
ss1.c 0.62 0.52 16.57 60
ss2.c 0.96 0.88 60 60
ss3.c 0.71 0.61 16.53 60
ss4.c 0.64 0.53 16.75 60
ssina.c 0.87 0.83 60 60
standard_compare_ground.c 0.36 0.31 16.26 19.69
standard_compareModified_ground.c 0.38 0.33 29.10 60
standard_copy1_ground-1.c 0.22 0.22 11.16 16.61
standard_copy2_ground-2.c 0.32 0.29 11.50 60
standard_copy3_ground-1.c 0.39 0.34 11.54 32.26
standard_copy4_ground-1.c 0.51 0.47 11.78 60
standard_copy5_ground-1.c 0.61 0.51 11.84 60
standard_copy6_ground-2.c 0.69 0.64 11.93 60
standard_copy7_ground-2.c 0.86 0.75 12.06 60
standard_copy8_ground-1.c 0.96 0.85 12.04 60
standard_copy9_ground-2.c 1.10 1.00 12.03 60
standard_copyInit_ground.c 0.21 0.17 30.32 60
standard_copyInitSum2_ground-2.c 0.35 0.28 32.21 60
standard_copyInitSum3_ground.c 0.51 0.41 11.64 60
standard_copyInitSum_ground.c 0.38 0.32 16.49 60
standard_init1_ground-2.c 0.15 0.12 30.29 17.54
standard_init2_ground-2.c 0.18 0.16 30.49 19.64
standard_init3_ground-2.c 0.22 0.19 30.64 23.55
standard_init4_ground-2.c 0.29 0.25 31.91 60
standard_init5_ground-1.c 0.37 0.29 31.72 30.13
standard_init6_ground-2.c 0.41 0.35 32.14 60
standard_init7_ground-2.c 0.48 0.41 32.88 60
standard_init8_ground-2.c 0.55 0.48 33.03 30.54
standard_init9_ground-2.c 0.66 0.51 33.17 60
standard_maxInArray_ground.c 0.36 0.29 16.37 60
standard_minInArray_ground-2.c 0.35 0.30 16.98 60
standard_password_ground.c 0.37 0.32 16.53 17.56
standard_running-2.c 0.43 0.37 16.98 60
standard_seq_init_ground.c 0.24 0.21 11.45 22.66
standard_strcmp_ground.c 0.36 0.32 16.71 19.61
standard_vector_difference_ground.c 0.35 0.30 11.50 60
zero_sum1.c 0.46 0.37 16.53 60
zero_sum2.c 0.82 0.66 16.94 60
zero_sum3.c 1.25 0.94 17.89 60
zero_sum4.c 1.71 1.38 18.29 60
zero_sum5.c 2.24 1.84 18.94 60
zero_sum_const1.c 0.46 0.37 16.27 60
zero_sum_const2.c 0.85 0.64 17.11 60
zero_sum_const3.c 1.23 0.96 17.84 60
zero_sum_const4.c 1.74 1.37 18.50 60
zero_sum_const5.c 2.23 1.84 18.87 60
zero_sum_const_m2.c 0.82 0.68 16.82 60
zero_sum_const_m3.c 1.23 0.97 17.65 60
zero_sum_const_m4.c 1.70 1.37 18.37 60
zero_sum_const_m5.c 2.29 1.84 18.86 60
zero_sum_const_m6.c 2.86 2.33 20.73 60
zero_sum_m2.c 0.81 0.67 17.01 60
zero_sum_m3.c 1.25 0.96 17.49 60
zero_sum_m4.c 1.73 1.36 18.14 60
zero_sum_m5.c 2.22 1.87 19.05 60
zero_sum_m6.c 2.83 2.35 19.59 60
