Program Category,#Benchmarks,Diffy,Diffy,Diffy,Vajra,Vajra,VeriAbs,VeriAbs,VIAP,VIAP,VIAP
,,Successful Result,Inconclusive Result,Timeout,Successful Result,Inconclusive Result,Successful Result,Timeout,Successful Result,Inconclusive Result,Timeout
C1,99,98,1,0,98,1,84,15,98,0,1
C2,24,24,0,0,17,7,19,5,24,0,0
C3,23,20,3,0,0,23,22,1,0,23,0
Total,146,142,4,0,115,31,125,21,122,23,1
